,epoch,acc,precision,recall,pred_acc_member,pred_acc_non_member,true_member,false_member,true_non_member,false_non_member
128,129,0.7166666666666667,0.6406926406926406,0.9866666666666667,tensor(0.9867),tensor(0.5533),148,83,67,2
129,130,0.72,0.6434782608695652,0.9866666666666667,tensor(0.9867),tensor(0.5467),148,82,68,2
130,131,0.72,0.6434782608695652,0.9866666666666667,tensor(0.9867),tensor(0.5467),148,82,68,2
131,132,0.72,0.6434782608695652,0.9866666666666667,tensor(0.9867),tensor(0.5467),148,82,68,2
132,133,0.72,0.6434782608695652,0.9866666666666667,tensor(0.9867),tensor(0.5467),148,82,68,2
133,134,0.72,0.6434782608695652,0.9866666666666667,tensor(0.9867),tensor(0.5467),148,82,68,2
134,135,0.72,0.6434782608695652,0.9866666666666667,tensor(0.9867),tensor(0.5467),148,82,68,2
135,136,0.7166666666666667,0.6394849785407726,0.9933333333333333,tensor(0.9933),tensor(0.5600),149,84,66,1
136,137,0.72,0.6434782608695652,0.9866666666666667,tensor(0.9867),tensor(0.5467),148,82,68,2
137,138,0.7166666666666667,0.6394849785407726,0.9933333333333333,tensor(0.9933),tensor(0.5600),149,84,66,1
138,139,0.7133333333333334,0.6367521367521367,0.9933333333333333,tensor(0.9933),tensor(0.5667),149,85,65,1
139,140,0.7133333333333334,0.6379310344827587,0.9866666666666667,tensor(0.9867),tensor(0.5600),148,84,66,2
140,141,0.7133333333333334,0.6367521367521367,0.9933333333333333,tensor(0.9933),tensor(0.5667),149,85,65,1
141,142,0.7133333333333334,0.6367521367521367,0.9933333333333333,tensor(0.9933),tensor(0.5667),149,85,65,1
142,143,0.7166666666666667,0.6394849785407726,0.9933333333333333,tensor(0.9933),tensor(0.5600),149,84,66,1
143,144,0.7133333333333334,0.6367521367521367,0.9933333333333333,tensor(0.9933),tensor(0.5667),149,85,65,1
144,145,0.7133333333333334,0.6367521367521367,0.9933333333333333,tensor(0.9933),tensor(0.5667),149,85,65,1
145,146,0.7133333333333334,0.6367521367521367,0.9933333333333333,tensor(0.9933),tensor(0.5667),149,85,65,1
146,147,0.7133333333333334,0.6367521367521367,0.9933333333333333,tensor(0.9933),tensor(0.5667),149,85,65,1
147,148,0.7133333333333334,0.6367521367521367,0.9933333333333333,tensor(0.9933),tensor(0.5667),149,85,65,1
148,149,0.7133333333333334,0.6367521367521367,0.9933333333333333,tensor(0.9933),tensor(0.5667),149,85,65,1
149,150,0.7133333333333334,0.6367521367521367,0.9933333333333333,tensor(0.9933),tensor(0.5667),149,85,65,1
150,151,0.7133333333333334,0.6367521367521367,0.9933333333333333,tensor(0.9933),tensor(0.5667),149,85,65,1
151,152,0.7133333333333334,0.6367521367521367,0.9933333333333333,tensor(0.9933),tensor(0.5667),149,85,65,1
152,153,0.7133333333333334,0.6367521367521367,0.9933333333333333,tensor(0.9933),tensor(0.5667),149,85,65,1
153,154,0.71,0.6340425531914894,0.9933333333333333,tensor(0.9933),tensor(0.5733),149,86,64,1
154,155,0.71,0.6340425531914894,0.9933333333333333,tensor(0.9933),tensor(0.5733),149,86,64,1
155,156,0.7133333333333334,0.6367521367521367,0.9933333333333333,tensor(0.9933),tensor(0.5667),149,85,65,1
156,157,0.7133333333333334,0.6367521367521367,0.9933333333333333,tensor(0.9933),tensor(0.5667),149,85,65,1
157,158,0.71,0.6340425531914894,0.9933333333333333,tensor(0.9933),tensor(0.5733),149,86,64,1
158,159,0.7066666666666667,0.6313559322033898,0.9933333333333333,tensor(0.9933),tensor(0.5800),149,87,63,1
159,160,0.7033333333333334,0.6286919831223629,0.9933333333333333,tensor(0.9933),tensor(0.5867),149,88,62,1
160,161,0.7033333333333334,0.6286919831223629,0.9933333333333333,tensor(0.9933),tensor(0.5867),149,88,62,1
161,162,0.7033333333333334,0.6286919831223629,0.9933333333333333,tensor(0.9933),tensor(0.5867),149,88,62,1
162,163,0.7033333333333334,0.6286919831223629,0.9933333333333333,tensor(0.9933),tensor(0.5867),149,88,62,1
163,164,0.7033333333333334,0.6286919831223629,0.9933333333333333,tensor(0.9933),tensor(0.5867),149,88,62,1
164,165,0.7033333333333334,0.6286919831223629,0.9933333333333333,tensor(0.9933),tensor(0.5867),149,88,62,1
165,166,0.7033333333333334,0.6286919831223629,0.9933333333333333,tensor(0.9933),tensor(0.5867),149,88,62,1
166,167,0.7033333333333334,0.6286919831223629,0.9933333333333333,tensor(0.9933),tensor(0.5867),149,88,62,1
167,168,0.7033333333333334,0.6286919831223629,0.9933333333333333,tensor(0.9933),tensor(0.5867),149,88,62,1
168,169,0.7033333333333334,0.6286919831223629,0.9933333333333333,tensor(0.9933),tensor(0.5867),149,88,62,1
169,170,0.7033333333333334,0.6286919831223629,0.9933333333333333,tensor(0.9933),tensor(0.5867),149,88,62,1
170,171,0.7033333333333334,0.6286919831223629,0.9933333333333333,tensor(0.9933),tensor(0.5867),149,88,62,1
171,172,0.7033333333333334,0.6286919831223629,0.9933333333333333,tensor(0.9933),tensor(0.5867),149,88,62,1
172,173,0.7033333333333334,0.6286919831223629,0.9933333333333333,tensor(0.9933),tensor(0.5867),149,88,62,1
173,174,0.7033333333333334,0.6286919831223629,0.9933333333333333,tensor(0.9933),tensor(0.5867),149,88,62,1
174,175,0.7033333333333334,0.6286919831223629,0.9933333333333333,tensor(0.9933),tensor(0.5867),149,88,62,1
175,176,0.7033333333333334,0.6286919831223629,0.9933333333333333,tensor(0.9933),tensor(0.5867),149,88,62,1
176,177,0.7033333333333334,0.6286919831223629,0.9933333333333333,tensor(0.9933),tensor(0.5867),149,88,62,1
177,178,0.7033333333333334,0.6286919831223629,0.9933333333333333,tensor(0.9933),tensor(0.5867),149,88,62,1
178,179,0.7033333333333334,0.6286919831223629,0.9933333333333333,tensor(0.9933),tensor(0.5867),149,88,62,1
179,180,0.7033333333333334,0.6286919831223629,0.9933333333333333,tensor(0.9933),tensor(0.5867),149,88,62,1
180,181,0.7033333333333334,0.6286919831223629,0.9933333333333333,tensor(0.9933),tensor(0.5867),149,88,62,1
181,182,0.7033333333333334,0.6286919831223629,0.9933333333333333,tensor(0.9933),tensor(0.5867),149,88,62,1
182,183,0.7033333333333334,0.6286919831223629,0.9933333333333333,tensor(0.9933),tensor(0.5867),149,88,62,1
183,184,0.7033333333333334,0.6286919831223629,0.9933333333333333,tensor(0.9933),tensor(0.5867),149,88,62,1
184,185,0.7033333333333334,0.6286919831223629,0.9933333333333333,tensor(0.9933),tensor(0.5867),149,88,62,1
185,186,0.7033333333333334,0.6286919831223629,0.9933333333333333,tensor(0.9933),tensor(0.5867),149,88,62,1
186,187,0.7033333333333334,0.6286919831223629,0.9933333333333333,tensor(0.9933),tensor(0.5867),149,88,62,1
187,188,0.7033333333333334,0.6286919831223629,0.9933333333333333,tensor(0.9933),tensor(0.5867),149,88,62,1
188,189,0.7033333333333334,0.6286919831223629,0.9933333333333333,tensor(0.9933),tensor(0.5867),149,88,62,1
189,190,0.7033333333333334,0.6286919831223629,0.9933333333333333,tensor(0.9933),tensor(0.5867),149,88,62,1
190,191,0.7033333333333334,0.6286919831223629,0.9933333333333333,tensor(0.9933),tensor(0.5867),149,88,62,1
191,192,0.7033333333333334,0.6286919831223629,0.9933333333333333,tensor(0.9933),tensor(0.5867),149,88,62,1
192,193,0.7033333333333334,0.6286919831223629,0.9933333333333333,tensor(0.9933),tensor(0.5867),149,88,62,1
193,194,0.7033333333333334,0.6286919831223629,0.9933333333333333,tensor(0.9933),tensor(0.5867),149,88,62,1
194,195,0.7033333333333334,0.6286919831223629,0.9933333333333333,tensor(0.9933),tensor(0.5867),149,88,62,1
195,196,0.7033333333333334,0.6286919831223629,0.9933333333333333,tensor(0.9933),tensor(0.5867),149,88,62,1
196,197,0.7,0.6260504201680672,0.9933333333333333,tensor(0.9933),tensor(0.5933),149,89,61,1
197,198,0.6966666666666667,0.6234309623430963,0.9933333333333333,tensor(0.9933),tensor(0.6000),149,90,60,1
198,199,0.6966666666666667,0.6234309623430963,0.9933333333333333,tensor(0.9933),tensor(0.6000),149,90,60,1
199,200,0.7,0.6260504201680672,0.9933333333333333,tensor(0.9933),tensor(0.5933),149,89,61,1
200,201,0.7,0.6260504201680672,0.9933333333333333,tensor(0.9933),tensor(0.5933),149,89,61,1
201,202,0.7,0.6260504201680672,0.9933333333333333,tensor(0.9933),tensor(0.5933),149,89,61,1
202,203,0.7,0.6260504201680672,0.9933333333333333,tensor(0.9933),tensor(0.5933),149,89,61,1
203,204,0.7,0.6260504201680672,0.9933333333333333,tensor(0.9933),tensor(0.5933),149,89,61,1
204,205,0.7,0.6260504201680672,0.9933333333333333,tensor(0.9933),tensor(0.5933),149,89,61,1
205,206,0.7,0.6260504201680672,0.9933333333333333,tensor(0.9933),tensor(0.5933),149,89,61,1
206,207,0.7,0.6260504201680672,0.9933333333333333,tensor(0.9933),tensor(0.5933),149,89,61,1
207,208,0.6966666666666667,0.6234309623430963,0.9933333333333333,tensor(0.9933),tensor(0.6000),149,90,60,1
208,209,0.6966666666666667,0.6234309623430963,0.9933333333333333,tensor(0.9933),tensor(0.6000),149,90,60,1
209,210,0.6966666666666667,0.6234309623430963,0.9933333333333333,tensor(0.9933),tensor(0.6000),149,90,60,1
210,211,0.6966666666666667,0.6234309623430963,0.9933333333333333,tensor(0.9933),tensor(0.6000),149,90,60,1
211,212,0.6966666666666667,0.6234309623430963,0.9933333333333333,tensor(0.9933),tensor(0.6000),149,90,60,1
212,213,0.6966666666666667,0.6234309623430963,0.9933333333333333,tensor(0.9933),tensor(0.6000),149,90,60,1
213,214,0.6933333333333334,0.6208333333333333,0.9933333333333333,tensor(0.9933),tensor(0.6067),149,91,59,1
214,215,0.6933333333333334,0.6208333333333333,0.9933333333333333,tensor(0.9933),tensor(0.6067),149,91,59,1
215,216,0.6933333333333334,0.6208333333333333,0.9933333333333333,tensor(0.9933),tensor(0.6067),149,91,59,1
216,217,0.6933333333333334,0.6208333333333333,0.9933333333333333,tensor(0.9933),tensor(0.6067),149,91,59,1
217,218,0.6966666666666667,0.6234309623430963,0.9933333333333333,tensor(0.9933),tensor(0.6000),149,90,60,1
218,219,0.6966666666666667,0.6234309623430963,0.9933333333333333,tensor(0.9933),tensor(0.6000),149,90,60,1
219,220,0.6966666666666667,0.6234309623430963,0.9933333333333333,tensor(0.9933),tensor(0.6000),149,90,60,1
220,221,0.6966666666666667,0.6234309623430963,0.9933333333333333,tensor(0.9933),tensor(0.6000),149,90,60,1
221,222,0.6966666666666667,0.6234309623430963,0.9933333333333333,tensor(0.9933),tensor(0.6000),149,90,60,1
222,223,0.6966666666666667,0.6234309623430963,0.9933333333333333,tensor(0.9933),tensor(0.6000),149,90,60,1
223,224,0.6966666666666667,0.6234309623430963,0.9933333333333333,tensor(0.9933),tensor(0.6000),149,90,60,1
224,225,0.6966666666666667,0.6234309623430963,0.9933333333333333,tensor(0.9933),tensor(0.6000),149,90,60,1
225,226,0.6966666666666667,0.6234309623430963,0.9933333333333333,tensor(0.9933),tensor(0.6000),149,90,60,1
226,227,0.6966666666666667,0.6234309623430963,0.9933333333333333,tensor(0.9933),tensor(0.6000),149,90,60,1
227,228,0.6966666666666667,0.6234309623430963,0.9933333333333333,tensor(0.9933),tensor(0.6000),149,90,60,1
228,229,0.6966666666666667,0.6234309623430963,0.9933333333333333,tensor(0.9933),tensor(0.6000),149,90,60,1
229,230,0.6966666666666667,0.6234309623430963,0.9933333333333333,tensor(0.9933),tensor(0.6000),149,90,60,1
230,231,0.6966666666666667,0.6234309623430963,0.9933333333333333,tensor(0.9933),tensor(0.6000),149,90,60,1
231,232,0.6966666666666667,0.6234309623430963,0.9933333333333333,tensor(0.9933),tensor(0.6000),149,90,60,1
232,233,0.6966666666666667,0.6234309623430963,0.9933333333333333,tensor(0.9933),tensor(0.6000),149,90,60,1
233,234,0.6933333333333334,0.6208333333333333,0.9933333333333333,tensor(0.9933),tensor(0.6067),149,91,59,1
234,235,0.6933333333333334,0.6208333333333333,0.9933333333333333,tensor(0.9933),tensor(0.6067),149,91,59,1
235,236,0.6933333333333334,0.6208333333333333,0.9933333333333333,tensor(0.9933),tensor(0.6067),149,91,59,1
236,237,0.6933333333333334,0.6208333333333333,0.9933333333333333,tensor(0.9933),tensor(0.6067),149,91,59,1
237,238,0.6933333333333334,0.6208333333333333,0.9933333333333333,tensor(0.9933),tensor(0.6067),149,91,59,1
238,239,0.6933333333333334,0.6208333333333333,0.9933333333333333,tensor(0.9933),tensor(0.6067),149,91,59,1
239,240,0.6866666666666666,0.6157024793388429,0.9933333333333333,tensor(0.9933),tensor(0.6200),149,93,57,1
240,241,0.6833333333333333,0.6131687242798354,0.9933333333333333,tensor(0.9933),tensor(0.6267),149,94,56,1
241,242,0.6833333333333333,0.6131687242798354,0.9933333333333333,tensor(0.9933),tensor(0.6267),149,94,56,1
242,243,0.6833333333333333,0.6131687242798354,0.9933333333333333,tensor(0.9933),tensor(0.6267),149,94,56,1
243,244,0.6833333333333333,0.6131687242798354,0.9933333333333333,tensor(0.9933),tensor(0.6267),149,94,56,1
244,245,0.6833333333333333,0.6131687242798354,0.9933333333333333,tensor(0.9933),tensor(0.6267),149,94,56,1
245,246,0.6833333333333333,0.6131687242798354,0.9933333333333333,tensor(0.9933),tensor(0.6267),149,94,56,1
246,247,0.6833333333333333,0.6131687242798354,0.9933333333333333,tensor(0.9933),tensor(0.6267),149,94,56,1
247,248,0.6833333333333333,0.6131687242798354,0.9933333333333333,tensor(0.9933),tensor(0.6267),149,94,56,1
248,249,0.6833333333333333,0.6131687242798354,0.9933333333333333,tensor(0.9933),tensor(0.6267),149,94,56,1
249,250,0.6833333333333333,0.6131687242798354,0.9933333333333333,tensor(0.9933),tensor(0.6267),149,94,56,1
250,251,0.6833333333333333,0.6131687242798354,0.9933333333333333,tensor(0.9933),tensor(0.6267),149,94,56,1
