,epoch,acc,precision,recall,pred_acc_member,pred_acc_non_member,true_member,false_member,true_non_member,false_non_member
121,122,0.72,0.6460176991150443,0.9733333333333334,tensor(0.9733),tensor(0.5333),146,80,70,4
122,123,0.7266666666666667,0.6491228070175439,0.9866666666666667,tensor(0.9867),tensor(0.5333),148,80,70,2
123,124,0.72,0.6460176991150443,0.9733333333333334,tensor(0.9733),tensor(0.5333),146,80,70,4
124,125,0.7233333333333334,0.6488888888888888,0.9733333333333334,tensor(0.9733),tensor(0.5267),146,79,71,4
125,126,0.7266666666666667,0.6504424778761062,0.98,tensor(0.9800),tensor(0.5267),147,79,71,3
126,127,0.7266666666666667,0.6491228070175439,0.9866666666666667,tensor(0.9867),tensor(0.5333),148,80,70,2
127,128,0.7166666666666667,0.6431718061674009,0.9733333333333334,tensor(0.9733),tensor(0.5400),146,81,69,4
128,129,0.7233333333333334,0.6488888888888888,0.9733333333333334,tensor(0.9733),tensor(0.5267),146,79,71,4
129,130,0.7266666666666667,0.6504424778761062,0.98,tensor(0.9800),tensor(0.5267),147,79,71,3
130,131,0.7233333333333334,0.6475770925110133,0.98,tensor(0.9800),tensor(0.5333),147,80,70,3
131,132,0.7233333333333334,0.6488888888888888,0.9733333333333334,tensor(0.9733),tensor(0.5267),146,79,71,4
132,133,0.7166666666666667,0.6431718061674009,0.9733333333333334,tensor(0.9733),tensor(0.5400),146,81,69,4
133,134,0.7233333333333334,0.6488888888888888,0.9733333333333334,tensor(0.9733),tensor(0.5267),146,79,71,4
134,135,0.72,0.6460176991150443,0.9733333333333334,tensor(0.9733),tensor(0.5333),146,80,70,4
135,136,0.7266666666666667,0.6517857142857143,0.9733333333333334,tensor(0.9733),tensor(0.5200),146,78,72,4
136,137,0.7233333333333334,0.6488888888888888,0.9733333333333334,tensor(0.9733),tensor(0.5267),146,79,71,4
137,138,0.7266666666666667,0.6517857142857143,0.9733333333333334,tensor(0.9733),tensor(0.5200),146,78,72,4
138,139,0.7233333333333334,0.6488888888888888,0.9733333333333334,tensor(0.9733),tensor(0.5267),146,79,71,4
139,140,0.7266666666666667,0.6517857142857143,0.9733333333333334,tensor(0.9733),tensor(0.5200),146,78,72,4
140,141,0.7233333333333334,0.6488888888888888,0.9733333333333334,tensor(0.9733),tensor(0.5267),146,79,71,4
141,142,0.7233333333333334,0.6488888888888888,0.9733333333333334,tensor(0.9733),tensor(0.5267),146,79,71,4
142,143,0.7233333333333334,0.6488888888888888,0.9733333333333334,tensor(0.9733),tensor(0.5267),146,79,71,4
143,144,0.7233333333333334,0.6488888888888888,0.9733333333333334,tensor(0.9733),tensor(0.5267),146,79,71,4
144,145,0.7266666666666667,0.6517857142857143,0.9733333333333334,tensor(0.9733),tensor(0.5200),146,78,72,4
145,146,0.7233333333333334,0.6488888888888888,0.9733333333333334,tensor(0.9733),tensor(0.5267),146,79,71,4
146,147,0.7266666666666667,0.6517857142857143,0.9733333333333334,tensor(0.9733),tensor(0.5200),146,78,72,4
147,148,0.7233333333333334,0.6502242152466368,0.9666666666666667,tensor(0.9667),tensor(0.5200),145,78,72,5
148,149,0.7333333333333333,0.6576576576576577,0.9733333333333334,tensor(0.9733),tensor(0.5067),146,76,74,4
149,150,0.7266666666666667,0.6531531531531531,0.9666666666666667,tensor(0.9667),tensor(0.5133),145,77,73,5
150,151,0.7266666666666667,0.6545454545454545,0.96,tensor(0.9600),tensor(0.5067),144,76,74,6
151,152,0.73,0.6561085972850679,0.9666666666666667,tensor(0.9667),tensor(0.5067),145,76,74,5
152,153,0.73,0.6561085972850679,0.9666666666666667,tensor(0.9667),tensor(0.5067),145,76,74,5
153,154,0.7266666666666667,0.6545454545454545,0.96,tensor(0.9600),tensor(0.5067),144,76,74,6
154,155,0.7366666666666667,0.663594470046083,0.96,tensor(0.9600),tensor(0.4867),144,73,77,6
155,156,0.73,0.6575342465753424,0.96,tensor(0.9600),tensor(0.5000),144,75,75,6
156,157,0.7366666666666667,0.663594470046083,0.96,tensor(0.9600),tensor(0.4867),144,73,77,6
157,158,0.7333333333333333,0.6620370370370371,0.9533333333333334,tensor(0.9533),tensor(0.4867),143,73,77,7
158,159,0.7366666666666667,0.6606334841628959,0.9733333333333334,tensor(0.9733),tensor(0.5000),146,75,75,4
159,160,0.73,0.6589861751152074,0.9533333333333334,tensor(0.9533),tensor(0.4933),143,74,76,7
160,161,0.74,0.6651376146788991,0.9666666666666667,tensor(0.9667),tensor(0.4867),145,73,77,5
161,162,0.74,0.6636363636363637,0.9733333333333334,tensor(0.9733),tensor(0.4933),146,74,76,4
162,163,0.73,0.6575342465753424,0.96,tensor(0.9600),tensor(0.5000),144,75,75,6
163,164,0.73,0.6533333333333333,0.98,tensor(0.9800),tensor(0.5200),147,78,72,3
164,165,0.7366666666666667,0.6621004566210046,0.9666666666666667,tensor(0.9667),tensor(0.4933),145,74,76,5
165,166,0.7333333333333333,0.6576576576576577,0.9733333333333334,tensor(0.9733),tensor(0.5067),146,76,74,4
166,167,0.75,0.669683257918552,0.9866666666666667,tensor(0.9867),tensor(0.4867),148,73,77,2
167,168,0.73,0.6547085201793722,0.9733333333333334,tensor(0.9733),tensor(0.5133),146,77,73,4
